SSC,Suburb,Population
10671,Curramore (NSW),227
10672,Currans Hill,5015
10673,Currarong,448
10674,Currawarna,225
10675,Daceyville,1165
10676,Daleys Point,585
10677,Dalgety,215
10678,Dalmeny,1929
10679,Dalton,107
10680,Dalwood (Ballina - NSW),257
10681,Dandry,163
10682,Dangar Island,267
10683,Dapto,10722
10684,Darawank,325
10685,Darbys Falls,319
10686,Dareton,517
10687,Dargan,103
10688,Darkes Forest,259
10689,Darkwood,244
10690,Darling Point,3931
10691,Darlinghurst,10033
10692,Darlington (Singleton - NSW),492
10693,Darlington (Sydney - NSW),2248
10694,Darlington Point,1210
10695,Daruka,816
10696,Davidson,2413
10697,Davistown,2402
10698,Dawes Point,541
10699,Dean Park,3097
10700,Dee Why,19844
10701,Deepwater (NSW),319
10702,Deer Vale,256
10703,Delegate,453
10704,Delroy Heights,471
10705,Delungra,555
10706,Denham Court,1589
10707,Denhams Beach,542
10708,Deniliquin,7496
10709,Denistone,3567
10710,Denistone East,2097
10711,Denistone West,913
10712,Denman,1793
10713,Deua River Valley,311
10714,Dharruk,2756
10715,Diamond Beach,846
10716,Dignams Creek,158
10717,Dolans Bay,555
10718,Dolls Point,1775
10719,Dolphin Point,216
10720,Dondingalong,689
10721,Doonbah,243
10722,Doonside,13100
10723,Dooralong,387
10724,Dora Creek,1674
10725,Dorrigo,1517
10726,Double Bay,4682
10727,Doubtful Creek,262
10728,Douglas Park,1271
10729,Dover Heights,3924
10730,Downside,417
10731,Doyalson,306
10732,Doyalson North,403
10733,Drake,397
10734,Drummoyne,11374
10735,Dubbo,32335
10736,Duckenfield,357
10737,Duckmaloi,197
10738,Dudley,2266
10739,Duffys Forest,433
10740,Dulguigan,322
10741,Dulwich Hill,12964
10742,Dumaresq Island,70
10743,Dunbible,330
10744,Dunbogan,962
10745,Dundas (NSW),3889
10746,Dundas Valley,4635
10747,Dundee,209
10748,Dundurrabin,186
10749,Dunedoo,1252
10750,Dungay,317
10751,Dungog,2124
10752,Dungowan,523
10753,Dunmore (NSW),265
10754,Dunoon,822
10755,Duns Creek,490
10756,Dural (Hornsby - NSW),7351
10757,Duranbah,263
10758,Duri,536
10759,Durras North,287
10760,Dyers Crossing,339
10761,Eagle Vale,5715
10762,Eagleton,235
10763,Earlwood,16743
10764,East Albury,6246
10765,East Ballina,5318
10766,East Bowral,1575
10767,East Branxton,1724
10768,East Coraki,428
10769,East Corrimal,3168
10770,East Gosford,3911
10771,East Gresford,315
10772,East Hills,3271
10773,East Jindabyne,552
10774,East Kempsey,1319
10775,East Killara,2868
10776,East Kurrajong,2118
10777,East Lindfield,3625
10778,East Lismore,4987
10779,East Maitland,11021
10780,East Ryde,2335
10781,East Seaham,357
10782,East Tamworth,5228
10783,East Wagga Wagga,253
10784,Eastern Creek,803
10785,Eastgardens,809
10786,Eastlakes,6922
10787,Eastwood (NSW),16163
10788,Eatonsville,395
10789,Ebenezer (NSW),968
10790,Ebor,305
10791,Eden,3052
10792,Eden Creek,559
10793,Edensor Park,9449
10794,Edgecliff,1977
10795,Edgeworth,6253
10796,Edith (NSW),222
10797,Edmondson Park,423
10798,Eglinton (NSW),2105
10799,Elands,402
10800,Elanora Heights,3865
10801,Elderslie (Camden - NSW),4262
10802,Eleebana,5487
10803,Elermore Vale,5180
10804,Elizabeth Bay,5094
10805,Elizabeth Beach,231
10807,Ellalong,792
10808,Elland,556
10809,Ellangowan (NSW),256
10810,Ellenborough,293
10811,Ellerslie (Wentworth - NSW),376
10812,Ellis Lane,811
10813,Elrington,277
10814,Elsmore,569
10815,Eltham (NSW),350
10816,Emerald Beach,2140
10817,Emerald Hill,256
10818,Emerton,2397
10819,Emmaville,696
